date,wardId,slot,required,assigned,unmet
2025-01-01,WardA,DAY,2,2,0
2025-01-01,WardA,EVENING,2,1,1
2025-01-01,WardA,NIGHT,3,3,0
2025-01-01,WardB,DAY,2,2,0
2025-01-01,WardB,EVENING,1,1,0
2025-01-01,WardB,NIGHT,2,2,0
2025-01-01,WardC,DAY,2,1,1
2025-01-01,WardC,EVENING,2,1,1
2025-01-01,WardC,NIGHT,2,1,1
2025-01-02,WardA,DAY,2,2,0
2025-01-02,WardA,EVENING,2,1,1
2025-01-02,WardA,NIGHT,3,2,1
2025-01-02,WardB,DAY,2,0,2
2025-01-02,WardB,EVENING,1,1,0
2025-01-02,WardB,NIGHT,2,0,2
2025-01-02,WardC,DAY,2,1,1
2025-01-02,WardC,EVENING,2,1,1
2025-01-02,WardC,NIGHT,2,1,1
2025-01-03,WardA,DAY,2,2,0
2025-01-03,WardA,EVENING,2,1,1
2025-01-03,WardA,NIGHT,3,2,1
2025-01-03,WardB,DAY,2,1,1
2025-01-03,WardB,EVENING,1,1,0
2025-01-03,WardB,NIGHT,2,2,0
2025-01-03,WardC,DAY,2,2,0
2025-01-03,WardC,EVENING,2,1,1
2025-01-03,WardC,NIGHT,2,1,1
2025-01-04,WardA,DAY,1,1,0
2025-01-04,WardA,EVENING,1,1,0
2025-01-04,WardA,NIGHT,2,1,1
2025-01-04,WardB,DAY,1,0,1
2025-01-04,WardB,EVENING,1,1,0
2025-01-04,WardB,NIGHT,1,0,1
2025-01-04,WardC,DAY,2,1,1
2025-01-04,WardC,EVENING,2,1,1
2025-01-04,WardC,NIGHT,2,2,0
2025-01-05,WardA,DAY,1,1,0
2025-01-05,WardA,EVENING,1,1,0
2025-01-05,WardA,NIGHT,2,2,0
2025-01-05,WardB,DAY,1,1,0
2025-01-05,WardB,EVENING,1,2,0
2025-01-05,WardB,NIGHT,1,1,0
2025-01-05,WardC,DAY,2,1,1
2025-01-05,WardC,EVENING,2,1,1
2025-01-05,WardC,NIGHT,2,2,0
2025-01-06,WardA,DAY,2,2,0
2025-01-06,WardA,EVENING,2,1,1
2025-01-06,WardA,NIGHT,3,2,1
2025-01-06,WardB,DAY,2,0,2
2025-01-06,WardB,EVENING,1,1,0
2025-01-06,WardB,NIGHT,2,1,1
2025-01-06,WardC,DAY,2,1,1
2025-01-06,WardC,EVENING,2,1,1
2025-01-06,WardC,NIGHT,2,1,1
2025-01-07,WardA,DAY,2,2,0
2025-01-07,WardA,EVENING,2,1,1
2025-01-07,WardA,NIGHT,3,1,2
2025-01-07,WardB,DAY,2,1,1
2025-01-07,WardB,EVENING,1,1,0
2025-01-07,WardB,NIGHT,2,0,2
2025-01-07,WardC,DAY,2,2,0
2025-01-07,WardC,EVENING,2,1,1
2025-01-07,WardC,NIGHT,2,2,0
2025-01-08,WardA,DAY,2,2,0
2025-01-08,WardA,EVENING,2,1,1
2025-01-08,WardA,NIGHT,3,2,1
2025-01-08,WardB,DAY,2,1,1
2025-01-08,WardB,EVENING,1,1,0
2025-01-08,WardB,NIGHT,2,1,1
2025-01-08,WardC,DAY,2,1,1
2025-01-08,WardC,EVENING,2,1,1
2025-01-08,WardC,NIGHT,2,1,1
2025-01-09,WardA,DAY,2,2,0
2025-01-09,WardA,EVENING,2,1,1
2025-01-09,WardA,NIGHT,3,2,1
2025-01-09,WardB,DAY,2,0,2
2025-01-09,WardB,EVENING,1,1,0
2025-01-09,WardB,NIGHT,2,1,1
2025-01-09,WardC,DAY,2,1,1
2025-01-09,WardC,EVENING,2,1,1
2025-01-09,WardC,NIGHT,2,2,0
2025-01-10,WardA,DAY,2,2,0
2025-01-10,WardA,EVENING,2,1,1
2025-01-10,WardA,NIGHT,3,2,1
2025-01-10,WardB,DAY,2,1,1
2025-01-10,WardB,EVENING,1,1,0
2025-01-10,WardB,NIGHT,2,2,0
2025-01-10,WardC,DAY,2,1,1
2025-01-10,WardC,EVENING,2,1,1
2025-01-10,WardC,NIGHT,2,1,1
2025-01-11,WardA,DAY,1,1,0
2025-01-11,WardA,EVENING,1,1,0
2025-01-11,WardA,NIGHT,2,1,1
2025-01-11,WardB,DAY,1,0,1
2025-01-11,WardB,EVENING,1,1,0
2025-01-11,WardB,NIGHT,1,0,1
2025-01-11,WardC,DAY,2,2,0
2025-01-11,WardC,EVENING,2,2,0
2025-01-11,WardC,NIGHT,2,1,1
2025-01-12,WardA,DAY,1,1,0
2025-01-12,WardA,EVENING,1,1,0
2025-01-12,WardA,NIGHT,2,1,1
2025-01-12,WardB,DAY,1,1,0
2025-01-12,WardB,EVENING,1,2,0
2025-01-12,WardB,NIGHT,1,1,0
2025-01-12,WardC,DAY,2,2,0
2025-01-12,WardC,EVENING,2,1,1
2025-01-12,WardC,NIGHT,2,1,1
2025-01-13,WardA,DAY,2,2,0
2025-01-13,WardA,EVENING,2,1,1
2025-01-13,WardA,NIGHT,3,1,2
2025-01-13,WardB,DAY,2,0,2
2025-01-13,WardB,EVENING,1,0,1
2025-01-13,WardB,NIGHT,2,1,1
2025-01-13,WardC,DAY,2,1,1
2025-01-13,WardC,EVENING,2,1,1
2025-01-13,WardC,NIGHT,2,0,2
2025-01-14,WardA,DAY,2,2,0
2025-01-14,WardA,EVENING,2,1,1
2025-01-14,WardA,NIGHT,3,2,1
2025-01-14,WardB,DAY,2,1,1
2025-01-14,WardB,EVENING,1,0,1
2025-01-14,WardB,NIGHT,2,2,0
2025-01-14,WardC,DAY,2,2,0
2025-01-14,WardC,EVENING,2,2,0
2025-01-14,WardC,NIGHT,2,1,1
